Month,PR Number,Order Date,Vendor,Product Name,Variant,SKU Suffix,SKU,Qty
"May 2026","PR-0016","2026-05-22","Shree Radhe International","ArcticFunk Jacket – Windproof, Cosy & Everyday Winter Wear for Pets","Red × 24","ARCTICFUNKJACKET-24","TH-250-ARCTICFUNKJACKET-24",5
"May 2026","PR-0016","2026-05-22","Shree Radhe International","ArcticFunk Jacket – Windproof, Cosy & Everyday Winter Wear for Pets","Red × 26","ARCTICFUNKJACKET-26","TH-250-ARCTICFUNKJACKET-26",5
"May 2026","PR-0016","2026-05-22","Shree Radhe International","ArcticFunk Jacket – Windproof, Cosy & Everyday Winter Wear for Pets","Red × 28","ARCTICFUNKJACKET-28","TH-250-ARCTICFUNKJACKET-28",5
"May 2026","PR-0016","2026-05-22","Shree Radhe International","ArcticFunk Jacket – Windproof, Cosy & Everyday Winter Wear for Pets","Red × 30","ARCTICFUNKJACKET-30","TH-250-ARCTICFUNKJACKET-30",4
"May 2026","PR-0016","2026-05-22","Shree Radhe International","ArcticFunk Jacket – Windproof, Cosy & Everyday Winter Wear for Pets","Red × 14","ARCTICFUNKJACKET-14","TH-250-ARCTICFUNKJACKET-14",5
"May 2026","PR-0016","2026-05-22","Shree Radhe International","ArcticFunk Jacket – Windproof, Cosy & Everyday Winter Wear for Pets","Red × 16","ARCTICFUNKJACKET-16","TH-250-ARCTICFUNKJACKET-16",5
"May 2026","PR-0016","2026-05-22","Shree Radhe International","ArcticFunk Jacket – Windproof, Cosy & Everyday Winter Wear for Pets","Red × 18","ARCTICFUNKJACKET-18","TH-250-ARCTICFUNKJACKET-18",4
"May 2026","PR-0016","2026-05-22","Shree Radhe International","ArcticFunk Jacket – Windproof, Cosy & Everyday Winter Wear for Pets","Red × 20","ARCTICFUNKJACKET-20","TH-250-ARCTICFUNKJACKET-20",5
"May 2026","PR-0016","2026-05-22","Shree Radhe International","ArcticFunk Jacket – Windproof, Cosy & Everyday Winter Wear for Pets","Red × 22","ARCTICFUNKJACKET-22","TH-250-ARCTICFUNKJACKET-22",5
"May 2026","PR-0016","2026-05-22","Shree Radhe International","ArcticFunk Jacket – Windproof, Cosy & Everyday Winter Wear for Pets","Red × 24","ARCTICFUNKJACKET-24","TH-250-ARCTICFUNKJACKET-24",3
"May 2026","PR-0016","2026-05-22","Shree Radhe International","ArcticFunk Jacket – Windproof, Cosy & Everyday Winter Wear for Pets","Red × 26","ARCTICFUNKJACKET-26","TH-250-ARCTICFUNKJACKET-26",3
"May 2026","PR-0016","2026-05-22","Shree Radhe International","ArcticFunk Jacket – Windproof, Cosy & Everyday Winter Wear for Pets","Red × 28","ARCTICFUNKJACKET-28","TH-250-ARCTICFUNKJACKET-28",3
"May 2026","PR-0016","2026-05-22","Shree Radhe International","ArcticFunk Jacket – Windproof, Cosy & Everyday Winter Wear for Pets","Red × 30","ARCTICFUNKJACKET-30","TH-250-ARCTICFUNKJACKET-30",3
"May 2026","PR-0016","2026-05-22","Shree Radhe International","ArcticFunk Jacket – Windproof, Cosy & Everyday Winter Wear for Pets","Red × 26","ARCTICFUNKJACKET-26","TH-250-ARCTICFUNKJACKET-26",3
"May 2026","PR-0016","2026-05-22","Shree Radhe International","ArcticFunk Jacket – Windproof, Cosy & Everyday Winter Wear for Pets","Red × 22","ARCTICFUNKJACKET-22","TH-250-ARCTICFUNKJACKET-22",4
"May 2026","PR-0016","2026-05-22","Shree Radhe International","ArcticFunk Jacket – Windproof, Cosy & Everyday Winter Wear for Pets","Red × 20","ARCTICFUNKJACKET-20","TH-250-ARCTICFUNKJACKET-20",9
"May 2026","PR-0016","2026-05-22","Shree Radhe International","ArcticFunk Jacket – Windproof, Cosy & Everyday Winter Wear for Pets","Red × 24","ARCTICFUNKJACKET-24","TH-250-ARCTICFUNKJACKET-24",4
"May 2026","PR-0016","2026-05-22","Shree Radhe International","ArcticFunk Jacket – Windproof, Cosy & Everyday Winter Wear for Pets","Red × 22","ARCTICFUNKJACKET-22","TH-250-ARCTICFUNKJACKET-22",5
"May 2026","PR-0016","2026-05-22","Shree Radhe International","ArcticFunk Jacket – Windproof, Cosy & Everyday Winter Wear for Pets","Red × 20","ARCTICFUNKJACKET-20","TH-250-ARCTICFUNKJACKET-20",5
"May 2026","PR-0016","2026-05-22","Shree Radhe International","ArcticFunk Jacket – Windproof, Cosy & Everyday Winter Wear for Pets","Red × 18","ARCTICFUNKJACKET-18","TH-250-ARCTICFUNKJACKET-18",4
"May 2026","PR-0016","2026-05-22","Shree Radhe International","ArcticFunk Jacket – Windproof, Cosy & Everyday Winter Wear for Pets","Red × 16","ARCTICFUNKJACKET-16","TH-250-ARCTICFUNKJACKET-16",5
"May 2026","PR-0016","2026-05-22","Shree Radhe International","ArcticFunk Jacket – Windproof, Cosy & Everyday Winter Wear for Pets","Red × 14","ARCTICFUNKJACKET-14","TH-250-ARCTICFUNKJACKET-14",5
"May 2026","PR-0016","2026-05-22","Shree Radhe International","ArcticFunk Jacket – Windproof, Cosy & Everyday Winter Wear for Pets","Red × 18","ARCTICFUNKJACKET-18","TH-250-ARCTICFUNKJACKET-18",4
"May 2026","PR-0016","2026-05-22","Shree Radhe International","ArcticFunk Jacket – Windproof, Cosy & Everyday Winter Wear for Pets","Red × 24","ARCTICFUNKJACKET-24","TH-250-ARCTICFUNKJACKET-24",5
"May 2026","PR-0016","2026-05-22","Shree Radhe International","ArcticFunk Jacket – Windproof, Cosy & Everyday Winter Wear for Pets","Red × 30","ARCTICFUNKJACKET-30","TH-250-ARCTICFUNKJACKET-30",3
"May 2026","PR-0016","2026-05-22","Shree Radhe International","ArcticFunk Jacket – Windproof, Cosy & Everyday Winter Wear for Pets","Red × 14","ARCTICFUNKJACKET-14","TH-250-ARCTICFUNKJACKET-14",4
"May 2026","PR-0016","2026-05-22","Shree Radhe International","ArcticFunk Jacket – Windproof, Cosy & Everyday Winter Wear for Pets","Red × 16","ARCTICFUNKJACKET-16","TH-250-ARCTICFUNKJACKET-16",5
"May 2026","PR-0016","2026-05-22","Shree Radhe International","ArcticFunk Jacket – Windproof, Cosy & Everyday Winter Wear for Pets","Red × 28","ARCTICFUNKJACKET-28","TH-250-ARCTICFUNKJACKET-28",5
"May 2026","PR-0016","2026-05-22","Shree Radhe International","ArcticFunk Jacket – Windproof, Cosy & Everyday Winter Wear for Pets","Red × 30","ARCTICFUNKJACKET-30","TH-250-ARCTICFUNKJACKET-30",5
"May 2026","PR-0016","2026-05-22","Shree Radhe International","ArcticFunk Jacket – Windproof, Cosy & Everyday Winter Wear for Pets","Red × 28","ARCTICFUNKJACKET-28","TH-250-ARCTICFUNKJACKET-28",5
"May 2026","PR-0035","2026-05-22","District99","ATLAS","Default Title","ATLAS","URTH-008-ATLAS",1
"May 2026","PR-0029","2026-05-22","Entout Co.","AuraSwipe Lint Brush | Effortless Fur Removal | Travel-Friendly | Self-Cleaning","Default Title","AURASWIPE","TH-077-AURASWIPE",57
"May 2026","PR-0022","2026-05-22","PawsSamrat Pet Products","Aurora Litter Den – Clean, Comfy & Private Litter Space for Cats","Default Title","LITTERDEN","TH-087-LITTERDEN",1
"May 2026","PR-0032","2026-05-22","Scoobe Pets Products","Ave Walk Harness Set | All-Day Comfort Walk Set with Leash & Collar","Avocado × L","AVEHARNESSSET-L-AVOCADO","TH-290-AVEHARNESSSET-L-AVOCADO",2
"May 2026","PR-0032","2026-05-22","Scoobe Pets Products","Ave Walk Harness Set | All-Day Comfort Walk Set with Leash & Collar","Coffee Beans × L","AVEHARNESSSET-L-COFFEEBEANS","TH-290-AVEHARNESSSET-L-COFFEEBEANS",2
"May 2026","PR-0032","2026-05-22","Scoobe Pets Products","Ave Walk Harness Set | All-Day Comfort Walk Set with Leash & Collar","Coffee Beans × XL","AVEHARNESSSET-XL-COFFEEBEANS","TH-290-AVEHARNESSSET-XL-COFFEEBEANS",2
"May 2026","PR-0032","2026-05-22","Scoobe Pets Products","Ave Walk Harness Set | All-Day Comfort Walk Set with Leash & Collar","Coffee Beans × M","AVEHARNESSSET-M-COFFEEBEANS","TH-290-AVEHARNESSSET-M-COFFEEBEANS",1
"May 2026","PR-0032","2026-05-22","Scoobe Pets Products","Ave Walk Harness Set | All-Day Comfort Walk Set with Leash & Collar","Coffee Beans × S","AVEHARNESSSET-S-COFFEEBEANS","TH-290-AVEHARNESSSET-S-COFFEEBEANS",1
"May 2026","PR-0032","2026-05-22","Scoobe Pets Products","Ave Walk Harness Set | All-Day Comfort Walk Set with Leash & Collar","Avocado × S","AVEHARNESSSET-S-AVOCADO","TH-290-AVEHARNESSSET-S-AVOCADO",4
"May 2026","PR-0032","2026-05-22","Scoobe Pets Products","Ave Walk Harness Set | All-Day Comfort Walk Set with Leash & Collar","Avocado × M","AVEHARNESSSET-M-AVOCADO","TH-290-AVEHARNESSSET-M-AVOCADO",3
"May 2026","PR-0032","2026-05-22","Scoobe Pets Products","Ave Walk Harness Set | All-Day Comfort Walk Set with Leash & Collar","Avocado × L","AVEHARNESSSET-L-AVOCADO","TH-290-AVEHARNESSSET-L-AVOCADO",4
"May 2026","PR-0032","2026-05-22","Scoobe Pets Products","Ave Walk Harness Set | All-Day Comfort Walk Set with Leash & Collar","Avocado × XL","AVEHARNESSSET-XL-AVOCADO","TH-290-AVEHARNESSSET-XL-AVOCADO",2
"May 2026","PR-0032","2026-05-22","Scoobe Pets Products","Ave Walk Harness Set | All-Day Comfort Walk Set with Leash & Collar","Coffee Beans × S","AVEHARNESSSET-S-COFFEEBEANS","TH-290-AVEHARNESSSET-S-COFFEEBEANS",1
"May 2026","PR-0032","2026-05-22","Scoobe Pets Products","Ave Walk Harness Set | All-Day Comfort Walk Set with Leash & Collar","Coffee Beans × L","AVEHARNESSSET-L-COFFEEBEANS","TH-290-AVEHARNESSSET-L-COFFEEBEANS",2
"May 2026","PR-0032","2026-05-22","Scoobe Pets Products","Ave Walk Harness Set | All-Day Comfort Walk Set with Leash & Collar","Coffee Beans × XL","AVEHARNESSSET-XL-COFFEEBEANS","TH-290-AVEHARNESSSET-XL-COFFEEBEANS",4
"May 2026","PR-0038","2026-05-22","Sup Marketing","AvoCool Mat – Self-Cooling Gel Mat for Dogs & Cats","L","AVOCOOLMAT-L","TH-368-AVOCOOLMAT - L",9
"May 2026","PR-0038","2026-05-22","Sup Marketing","AvoCool Mat – Self-Cooling Gel Mat for Dogs & Cats","XL","AVOCOOLMAT-XL","TH-368-AVOCOOLMAT - XL",65
"May 2026","PR-0022","2026-05-22","PawsSamrat Pet Products","BathEase Brush – 2-in-1 Bath Brush & Shampoo Dispenser | Includes Tick & Flea Shampoo(500ml)","Default Title","BATHEASEBRUSH","TH-279-BATHEASEBRUSH",30
"May 2026","PR-0040","2026-05-22","Abalone Organics","Beard Oil - Smooth Operator","Default Title","BEAOIL","MNM-003-BEAOIL",143
"May 2026","PR-0040","2026-05-22","Abalone Organics","Beard Serum - Smooth Operator","Default Title","BEASER","MNM-005-BEASER",336
"May 2026","PR-0007","2026-05-22","Big Time Enterprises","BellBop Toy – A Rolling Bell Toy That Keeps Cats Active & Happy","Default Title","BELLBOPTOY","TH-242-BELLBOPTOY",14
"May 2026","PR-0032","2026-05-22","Scoobe Pets Products","BlazeStep Harness – No-Pull Mesh Harness for Comfortable Dog Walks","S","BLAZEHARNESS-S","TH-355-BLAZEHARNESS-S",5
"May 2026","PR-0032","2026-05-22","Scoobe Pets Products","BlazeStep Harness – No-Pull Mesh Harness for Comfortable Dog Walks","XL","BLAZEHARNESS-XL","TH-355-BLAZEHARNESS-XL",1
"May 2026","PR-0013","2026-05-22","Ocean Wave Enterprises","BlueJay Sneaks | Denim Pet Boots | Non-Slip Comfort, Snug Everyday Fit","S","BLUEJAY SNEAKS-S","TH-229-BLUEJAY SNEAKS - S",32
"May 2026","PR-0013","2026-05-22","Ocean Wave Enterprises","BlueJay Sneaks | Denim Pet Boots | Non-Slip Comfort, Snug Everyday Fit","M","BLUEJAY SNEAKS-M","TH-229-BLUEJAY SNEAKS - M",14
"May 2026","PR-0013","2026-05-22","Ocean Wave Enterprises","BlueJay Sneaks | Denim Pet Boots | Non-Slip Comfort, Snug Everyday Fit","L","BLUEJAY SNEAKS-L","TH-229-BLUEJAY SNEAKS - L",11
"May 2026","PR-0013","2026-05-22","Ocean Wave Enterprises","BlueJay Sneaks | Denim Pet Boots | Non-Slip Comfort, Snug Everyday Fit","XL","BLUEJAY SNEAKS-XL","TH-229-BLUEJAY SNEAKS - XL",18
"May 2026","PR-0013","2026-05-22","Ocean Wave Enterprises","BlueJay Sneaks | Denim Pet Boots | Non-Slip Comfort, Snug Everyday Fit","XXL","BLUEJAY SNEAKS-XXL","TH-229-BLUEJAY SNEAKS - XXL",7
"May 2026","PR-0009","2026-05-22","Cature Shield Pvt Ltd","BlueWave Pool – Foldable Pet Swimming Pool for Dogs & Cats | Large Size","Default Title","BLUEPOOL","TH-367-BLUEPOOL",7
"May 2026","PR-0014","2026-05-22","Pupscribe Enterprises Pvt Ltd","Blush Carrier Bag | Breathable Comfort | Travel with Ease","Default Title","BLUSHBAG","TH-186-BLUSHBAG",1
"May 2026","PR-0027","2026-05-22","Kara Creations","BowBelle Harness – Stylish Comfortable Walking Harness for Cats","Default Title","BOWBELLEHARNESS","TH-249-BOWBELLEHARNESS",19
"May 2026","PR-0025","2026-05-22","Meta Products","Brassbound Butterfly Razor – Precision Shave| Effortless Blade Change| Premium Comfort","Silver","BBR-SILVER","MNM-022-BBR-SILVER",79
"May 2026","PR-0022","2026-05-22","PawsSamrat Pet Products","BreatheEase Muzzle – Breathable No-Bark Muzzle for Small Pets","Default Title","BREATHEMUZZLE","TH-207-BREATHEMUZZLE",3
"May 2026","PR-0010","2026-05-22","Companion Neesds","BunnyGlide Boots | Premium Small Pet Shoes for Paw Safety & Style","XXS","BUNNYBOO-XXS","TH-147-BUNNYBOO-XXS",1
"May 2026","PR-0010","2026-05-22","Companion Neesds","BunnyGlide Boots | Premium Small Pet Shoes for Paw Safety & Style","XS","BUNNYBOO-XS","TH-147-BUNNYBOO-XS",3
"May 2026","PR-0010","2026-05-22","Companion Neesds","BunnyGlide Boots | Premium Small Pet Shoes for Paw Safety & Style","S","BUNNYBOO-S","TH-147-BUNNYBOO-S",1
"May 2026","PR-0013","2026-05-22","Ocean Wave Enterprises","CalmFrost Puffer Jacket | Waterproof, Lightweight & Warm Dog Jacket | Winter Comfort & Style","Bottle Green × XXL","PUFFERJACKET-XXL-BOTTLEGREEN","TH-211-PUFFERJACKET-XXL-BOTTLEGREEN",18
"May 2026","PR-0013","2026-05-22","Ocean Wave Enterprises","CalmFrost Puffer Jacket | Waterproof, Lightweight & Warm Dog Jacket | Winter Comfort & Style","Red × XS","PUFFERJACKET-XS-RED","TH-211-PUFFERJACKET-XS-RED",35
"May 2026","PR-0013","2026-05-22","Ocean Wave Enterprises","CalmFrost Puffer Jacket | Waterproof, Lightweight & Warm Dog Jacket | Winter Comfort & Style","Red × S","PUFFERJACKET-S-RED","TH-211-PUFFERJACKET-S-RED",35
"May 2026","PR-0013","2026-05-22","Ocean Wave Enterprises","CalmFrost Puffer Jacket | Waterproof, Lightweight & Warm Dog Jacket | Winter Comfort & Style","Red × M","PUFFERJACKET-M-RED","TH-211-PUFFERJACKET-M-RED",20
"May 2026","PR-0013","2026-05-22","Ocean Wave Enterprises","CalmFrost Puffer Jacket | Waterproof, Lightweight & Warm Dog Jacket | Winter Comfort & Style","Red × L","PUFFERJACKET-L-RED","TH-211-PUFFERJACKET-L-RED",35
"May 2026","PR-0013","2026-05-22","Ocean Wave Enterprises","CalmFrost Puffer Jacket | Waterproof, Lightweight & Warm Dog Jacket | Winter Comfort & Style","Red × XL","PUFFERJACKET-XL-RED","TH-211-PUFFERJACKET-XL-RED",16
"May 2026","PR-0013","2026-05-22","Ocean Wave Enterprises","CalmFrost Puffer Jacket | Waterproof, Lightweight & Warm Dog Jacket | Winter Comfort & Style","Red × XXL","PUFFERJACKET-XXL-RED","TH-211-PUFFERJACKET-XXL-RED",16
"May 2026","PR-0013","2026-05-22","Ocean Wave Enterprises","CalmFrost Puffer Jacket | Waterproof, Lightweight & Warm Dog Jacket | Winter Comfort & Style","Maroon × XS","PUFFERJACKET-XS-MAROON","TH-211-PUFFERJACKET-XS-MAROON",44
"May 2026","PR-0013","2026-05-22","Ocean Wave Enterprises","CalmFrost Puffer Jacket | Waterproof, Lightweight & Warm Dog Jacket | Winter Comfort & Style","Bottle Green × XS","PUFFERJACKET-XS-BOTTLEGREEN","TH-211-PUFFERJACKET-XS-BOTTLEGREEN",23
"May 2026","PR-0013","2026-05-22","Ocean Wave Enterprises","CalmFrost Puffer Jacket | Waterproof, Lightweight & Warm Dog Jacket | Winter Comfort & Style","Beige × XS","PUFFERJACKET-XS-BEIGE","TH-211-PUFFERJACKET-XS-BEIGE",23
"May 2026","PR-0013","2026-05-22","Ocean Wave Enterprises","CalmFrost Puffer Jacket | Waterproof, Lightweight & Warm Dog Jacket | Winter Comfort & Style","Navy × XS","PUFFERJACKET-XS-NAVY","TH-211-PUFFERJACKET-XS-NAVY",36
"May 2026","PR-0013","2026-05-22","Ocean Wave Enterprises","CalmFrost Puffer Jacket | Waterproof, Lightweight & Warm Dog Jacket | Winter Comfort & Style","Maroon × S","PUFFERJACKET-S-MAROON","TH-211-PUFFERJACKET-S-MAROON",37
"May 2026","PR-0013","2026-05-22","Ocean Wave Enterprises","CalmFrost Puffer Jacket | Waterproof, Lightweight & Warm Dog Jacket | Winter Comfort & Style","Bottle Green × S","PUFFERJACKET-S-BOTTLEGREEN","TH-211-PUFFERJACKET-S-BOTTLEGREEN",22
"May 2026","PR-0013","2026-05-22","Ocean Wave Enterprises","CalmFrost Puffer Jacket | Waterproof, Lightweight & Warm Dog Jacket | Winter Comfort & Style","Beige × S","PUFFERJACKET-S-BEIGE","TH-211-PUFFERJACKET-S-BEIGE",10
"May 2026","PR-0013","2026-05-22","Ocean Wave Enterprises","CalmFrost Puffer Jacket | Waterproof, Lightweight & Warm Dog Jacket | Winter Comfort & Style","Navy × S","PUFFERJACKET-S-NAVY","TH-211-PUFFERJACKET-S-NAVY",52
"May 2026","PR-0013","2026-05-22","Ocean Wave Enterprises","CalmFrost Puffer Jacket | Waterproof, Lightweight & Warm Dog Jacket | Winter Comfort & Style","Maroon × M","PUFFERJACKET-M-MAROON","TH-211-PUFFERJACKET-M-MAROON",28
"May 2026","PR-0013","2026-05-22","Ocean Wave Enterprises","CalmFrost Puffer Jacket | Waterproof, Lightweight & Warm Dog Jacket | Winter Comfort & Style","Bottle Green × M","PUFFERJACKET-M-BOTTLEGREEN","TH-211-PUFFERJACKET-M-BOTTLEGREEN",22
"May 2026","PR-0013","2026-05-22","Ocean Wave Enterprises","CalmFrost Puffer Jacket | Waterproof, Lightweight & Warm Dog Jacket | Winter Comfort & Style","Beige × M","PUFFERJACKET-M-BEIGE","TH-211-PUFFERJACKET-M-BEIGE",10
"May 2026","PR-0013","2026-05-22","Ocean Wave Enterprises","CalmFrost Puffer Jacket | Waterproof, Lightweight & Warm Dog Jacket | Winter Comfort & Style","Navy × M","PUFFERJACKET-M-NAVY","TH-211-PUFFERJACKET-M-NAVY",26
"May 2026","PR-0013","2026-05-22","Ocean Wave Enterprises","CalmFrost Puffer Jacket | Waterproof, Lightweight & Warm Dog Jacket | Winter Comfort & Style","Maroon × L","PUFFERJACKET-L-MAROON","TH-211-PUFFERJACKET-L-MAROON",25
"May 2026","PR-0013","2026-05-22","Ocean Wave Enterprises","CalmFrost Puffer Jacket | Waterproof, Lightweight & Warm Dog Jacket | Winter Comfort & Style","Bottle Green × L","PUFFERJACKET-L-BOTTLEGREEN","TH-211-PUFFERJACKET-L-BOTTLEGREEN",16
"May 2026","PR-0013","2026-05-22","Ocean Wave Enterprises","CalmFrost Puffer Jacket | Waterproof, Lightweight & Warm Dog Jacket | Winter Comfort & Style","Beige × L","PUFFERJACKET-L-BEIGE","TH-211-PUFFERJACKET-L-BEIGE",5
"May 2026","PR-0013","2026-05-22","Ocean Wave Enterprises","CalmFrost Puffer Jacket | Waterproof, Lightweight & Warm Dog Jacket | Winter Comfort & Style","Navy × L","PUFFERJACKET-L-NAVY","TH-211-PUFFERJACKET-L-NAVY",28
"May 2026","PR-0013","2026-05-22","Ocean Wave Enterprises","CalmFrost Puffer Jacket | Waterproof, Lightweight & Warm Dog Jacket | Winter Comfort & Style","Maroon × XL","PUFFERJACKET-XL-MAROON","TH-211-PUFFERJACKET-XL-MAROON",11
"May 2026","PR-0013","2026-05-22","Ocean Wave Enterprises","CalmFrost Puffer Jacket | Waterproof, Lightweight & Warm Dog Jacket | Winter Comfort & Style","Bottle Green × XL","PUFFERJACKET-XL-BOTTLEGREEN","TH-211-PUFFERJACKET-XL-BOTTLEGREEN",7
"May 2026","PR-0013","2026-05-22","Ocean Wave Enterprises","CalmFrost Puffer Jacket | Waterproof, Lightweight & Warm Dog Jacket | Winter Comfort & Style","Beige × XL","PUFFERJACKET-XL-BEIGE","TH-211-PUFFERJACKET-XL-BEIGE",2
"May 2026","PR-0013","2026-05-22","Ocean Wave Enterprises","CalmFrost Puffer Jacket | Waterproof, Lightweight & Warm Dog Jacket | Winter Comfort & Style","Navy × XL","PUFFERJACKET-XL-NAVY","TH-211-PUFFERJACKET-XL-NAVY",16
"May 2026","PR-0013","2026-05-22","Ocean Wave Enterprises","CalmFrost Puffer Jacket | Waterproof, Lightweight & Warm Dog Jacket | Winter Comfort & Style","Maroon × XXL","PUFFERJACKET-XXL-MAROON","TH-211-PUFFERJACKET-XXL-MAROON",23
"May 2026","PR-0013","2026-05-22","Ocean Wave Enterprises","CalmFrost Puffer Jacket | Waterproof, Lightweight & Warm Dog Jacket | Winter Comfort & Style","Beige × XXL","PUFFERJACKET-XXL-BEIGE","TH-211-PUFFERJACKET-XXL-BEIGE",9
"May 2026","PR-0013","2026-05-22","Ocean Wave Enterprises","CalmFrost Puffer Jacket | Waterproof, Lightweight & Warm Dog Jacket | Winter Comfort & Style","Navy × XXL","PUFFERJACKET-XXL-NAVY","TH-211-PUFFERJACKET-XXL-NAVY",18
"May 2026","PR-0022","2026-05-22","PawsSamrat Pet Products","CalmQuench Feeder | 2-in-1 Water Fountain + Feeder","Default Title","CALMQUENCH","TH-098-CALMQUENCH",12
"May 2026","PR-0044","2026-05-22","Lavante Fashion","Can I Pet Your Dog Hoodie | Elevated Comfort | Unisex Pet-Parent Hoodie","White × XL","ICEBREAKERHOODIE-XL","TH-258-ICEBREAKERHOODIE-XL",10
"May 2026","PR-0044","2026-05-22","Lavante Fashion","Can I Pet Your Dog Hoodie | Elevated Comfort | Unisex Pet-Parent Hoodie","White × L","ICEBREAKERHOODIE-L","TH-258-ICEBREAKERHOODIE-L",7
"May 2026","PR-0044","2026-05-22","Lavante Fashion","Can I Pet Your Dog Hoodie | Elevated Comfort | Unisex Pet-Parent Hoodie","White × M","ICEBREAKERHOODIE-M","TH-258-ICEBREAKERHOODIE-M",10
